House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Smith Radial,Grace,Patel,46,Head,Widowed,Female,Petroleum engineer,None,Catholic
1,Smith Radial,Ian,Nixon,24,Lodger,Single,Male,Publishing rights manager,None,Christian
2,Smith Radial,Frederick,Read,87,Head,Divorced,Male,Retired TEFL teacher,None,Catholic
3,Smith Radial,Daniel,Adams,58,Head,Divorced,Male,"Therapist, music",None,Catholic
3,Smith Radial,Matthew,Hall,13,Grandson,NA,Male,Student,None,NA
3,Smith Radial,Steven,Fletcher,9,Grandson,NA,Male,Student,None,NA
4,Smith Radial,Alison,Jenkins,38,Head,Single,Female,Physiotherapist,None,Catholic
4,Smith Radial,Kelly,Jenkins,12,Daughter,NA,Female,Student,None,NA
5,Smith Radial,Kim,Browne,69,Head,Married,Female,Retired Estate manager/land agent,None,Christian
5,Smith Radial,Oliver,Browne,69,Husband,Married,Male,"Retired Merchandiser, retail",None,None
5,Smith Radial,Jemma,Hussain,42,None,Married,Female,Press sub,None,Catholic
5,Smith Radial,Terence,Hussain,48,None,Married,Male,Research scientist (medical),None,Catholic
5,Smith Radial,Mohamed,Hussain,8,None,NA,Male,Student,None,NA
6,Smith Radial,Patricia,Jones,33,Head,Single,Female,IT sales professional,None,None
6,Smith Radial,Kenneth,Jones,16,Son,NA,Male,Student,None,NA
6,Smith Radial,Steven,Jones,9,Son,NA,Male,Student,None,NA
6,Smith Radial,Gerald,Jones,6,Adopted Son,NA,Male,Student,None,NA
6,Smith Radial,Elliot,Jones,4,Son,NA,Male,Child,None,NA
7,Smith Radial,Adrian,Wilson,74,Head,Married,Male,Retired Audiological scientist,None,Catholic
7,Smith Radial,Hilary,Wilson,70,Wife,Married,Female,Retired Building surveyor,None,Catholic
8,Smith Radial,Lynda,Heath,40,Head,Married,Female,"Nurse, learning disability",None,Methodist
8,Smith Radial,Eric,Heath,42,Husband,Married,Male,Cabin crew,None,Methodist
8,Smith Radial,Joe,Heath,16,Son,NA,Male,Student,None,NA
8,Smith Radial,Ross,Heath,12,Son,NA,Male,Student,None,NA
9,Smith Radial,Rebecca,Ellis,82,Head,Widowed,Female,"Retired Development worker, community",None,Christian
10,Smith Radial,Sophie,Day,28,Head,Married,Female,IT technical support officer,None,None
10,Smith Radial,Aaron,Day,28,Husband,Married,Male,Forest/woodland manager,None,None
11,Smith Radial,Elizabeth,Hughes,71,Head,Married,Female,Retired Geophysical data processor,None,Christian
11,Smith Radial,Graeme,Hughes,72,Husband,Married,Male,Retired Bonds trader,None,Christian
12,Smith Radial,Jordan,Marsh,86,Head,Married,Male,Retired Podiatrist,None,Christian
12,Smith Radial,Amy,Marsh,84,Wife,Married,Female,Retired Quantity surveyor,None,Christian
13,Smith Radial,Janice,Gregory,34,Head,Single,Female,Mining engineer,None,Catholic
13,Smith Radial,Hugh,Gregory,5,Son,NA,Male,Student,None,NA
13,Smith Radial,Paula,Gregory,2,Daughter,NA,Female,Child,None,NA
13,Smith Radial,Martyn,Bailey,47,Lodger,Divorced,Male,Wellsite geologist, ,None
13,Smith Radial,Sharon,Stephens,20,Lodger,Single,Female,University Student,None,Christian
14,Smith Radial,Cheryl,Rogers,39,Head,Divorced,Female,"Nurse, children's",None,Christian
14,Smith Radial,Ben,Rogers,23,Son,Single,Male,"Therapist, art",None,Christian
15,Smith Radial,Vanessa,Patel,30,Head,Married,Female,Museum/gallery exhibitions officer,None,None
15,Smith Radial,Arthur,Patel,31,Husband,Married,Male,"Pharmacist, community",None,None
15,Smith Radial,Sara,Patel,1,Daughter,NA,Female,Child,None,NA
15,Smith Radial,Kevin,Patel,1,Son,NA,Male,Child,None,NA
15,Smith Radial,Paige,Thomas,60,Lodger,Single,Female,"Engineer, biomedical",None,Christian
16,Smith Radial,Darren,Banks,105,Head,Married,Male,Retired Music therapist,None,Christian
16,Smith Radial,Kerry,Banks,102,Wife,Married,Female,"Retired Scientist, product/process development",None,None
17,Smith Radial,Kimberley,Reid,34,Head,Single,Female,"Designer, exhibition/display",None,None
17,Smith Radial,Damian,Reid,2,Son,NA,Male,Child,None,NA
18,Smith Radial,Patrick,McDonald,43,Head,Married,Male,"Geologist, engineering",None,Christian
18,Smith Radial,June,McDonald,41,Wife,Married,Female,Prison officer,None,Christian
18,Smith Radial,Gillian,McDonald,10,Daughter,NA,Female,Student,None,NA
18,Smith Radial,Josephine,McDonald,8,Daughter,NA,Female,Student,None,NA
